File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/simple-polygon-exterior_60_ba2c82c0.instance.json           47                       10                       110                      -0.82535                 85                       
challenge_instances/simple-polygon-exterior-20_60_53ad6d23.instance.json        45                       20                       119                      -0.313747                119.5                    
challenge_instances/simple-polygon-exterior-20_10_46c44a43.instance.json        8                        2                        18                       -0.978022                15                       
challenge_instances/simple-polygon-exterior-20_10_8c4306da.instance.json        8                        4                        19                       -0.169576                21.5                     
challenge_instances/simple-polygon-exterior-20_150_41e0c5f0.instance.json       165                      100                      181                      -0.273654                390.5                    
challenge_instances/simple-polygon-exterior-20_60_e6f13145.instance.json        82                       58                       153                      -0.176123                250.5                    
challenge_instances/simple-polygon-exterior_60_8670ab75.instance.json           61                       21                       126                      -0.532737                126                      
challenge_instances/simple-polygon-exterior-20_20_c27f41dd.instance.json        20                       5                        46                       -0.858044                38                       
challenge_instances/simple-polygon-exterior_250_3f7ba0d3.instance.json          280                      195                      200                      -0.261707                685                      
challenge_instances/simple-polygon-exterior_250_c0a19392.instance.json          302                      203                      200                      -0.27884                 709                      
challenge_instances/simple-polygon-exterior_60_881cf585.instance.json           75                       39                       165                      -0.462982                199.5                    
challenge_instances/simple-polygon-exterior_40_7685a35e.instance.json           37                       13                       107                      -0.461037                92.5                     
challenge_instances/simple-polygon-exterior_40_ff947945.instance.json           49                       26                       115                      -0.233566                135.5                    
challenge_instances/simple-polygon-exterior_10_40642b31.instance.json           7                        2                        20                       -0.987215                16                       
challenge_instances/simple-polygon-exterior-20_250_0c9fa44e.instance.json       289                      194                      200                      -0.253893                682                      
challenge_instances/simple-polygon-exterior_250_a97729dd.instance.json          259                      183                      200                      -0.242703                649                      
challenge_instances/simple-polygon-exterior_40_ca26cbd4.instance.json           45                       21                       105                      -0.371845                115.5                    
challenge_instances/simple-polygon-exterior_80_22d34c7e.instance.json           89                       39                       158                      -0.499831                196                      
challenge_instances/simple-polygon-exterior-20_80_1c5fcde7.instance.json        87                       42                       154                      -0.414017                203                      
challenge_instances/simple-polygon-exterior-20_100_8bfbe418.instance.json       105                      53                       167                      -0.361989                242.5                    
challenge_instances/simple-polygon-exterior_60_494df14f.instance.json           69                       39                       142                      -0.240277                188                      
challenge_instances/simple-polygon-exterior_20_7520a1da.instance.json           16                       3                        49                       -0.855253                33.5                     
challenge_instances/simple-polygon-exterior-20_40_65de7236.instance.json        41                       9                        116                      -0.901303                85                       
challenge_instances/simple-polygon-exterior-20_20_0f96fb2c.instance.json        19                       6                        57                       -0.519225                46.5                     
challenge_instances/simple-polygon-exterior-20_250_4441b4ca.instance.json       248                      159                      193                      -0.291456                573.5                    
challenge_instances/simple-polygon-exterior-20_150_7768dd44.instance.json       161                      101                      175                      -0.247951                390.5                    
challenge_instances/simple-polygon-exterior-20_60_8221c868.instance.json        73                       42                       159                      -0.272805                205.5                    
challenge_instances/simple-polygon-exterior-20_40_84415804.instance.json        36                       10                       103                      -0.837856                81.5                     
challenge_instances/simple-polygon-exterior-20_10_15783346.instance.json        7                        1                        13                       -1.04486                 9.5                      
challenge_instances/simple-polygon-exterior-20_250_eb5ab92f.instance.json       253                      172                      198                      -0.253574                615                      
challenge_instances/simple-polygon-exterior-20_10_c6728228.instance.json        8                        2                        17                       -0.717222                14.5                     
challenge_instances/simple-polygon-exterior_150_1301b82e.instance.json          164                      103                      181                      -0.322037                399.5                    
challenge_instances/simple-polygon-exterior-20_40_317d3f6d.instance.json        30                       4                        62                       -1.04265                 43                       
challenge_instances/simple-polygon-exterior-20_60_28a85662.instance.json        76                       43                       160                      -0.357254                209                      
challenge_instances/simple-polygon-exterior_20_87cff693.instance.json           20                       12                       59                       -0.321525                65.5                     
challenge_instances/simple-polygon-exterior_10_74050e4d.instance.json           7                        2                        16                       -0.682554                14                       
challenge_instances/simple-polygon-exterior_80_d87f15e8.instance.json           87                       35                       167                      -0.614214                188.5                    
challenge_instances/simple-polygon-exterior-20_60_6088b7a9.instance.json        58                       32                       141                      -0.217754                166.5                    
challenge_instances/simple-polygon-exterior-20_100_7ed1ca87.instance.json       113                      75                       173                      -0.270183                311.5                    
challenge_instances/simple-polygon-exterior_40_785575e7.instance.json           33                       8                        93                       -0.709778                70.5                     
challenge_instances/simple-polygon-exterior-20_100_c256488f.instance.json       113                      67                       170                      -0.332405                286                      
challenge_instances/simple-polygon-exterior-20_20_1e719235.instance.json        25                       10                       83                       -0.493611                71.5                     
challenge_instances/simple-polygon-exterior_10_8b098f5e.instance.json           9                        4                        36                       -0.309605                30                       
challenge_instances/simple-polygon-exterior-20_80_889602ae.instance.json        86                       57                       156                      -0.173237                249                      
challenge_instances/simple-polygon-exterior-20_80_f6e462fb.instance.json        90                       43                       168                      -0.49741                 213                      
challenge_instances/simple-polygon-exterior_10_310dc6c7.instance.json           5                        0                        8                        -0.962171                4                        
challenge_instances/simple-polygon-exterior_150_fb998503.instance.json          176                      105                      184                      -0.307578                407                      
challenge_instances/simple-polygon-exterior-20_10_868921c7.instance.json        7                        3                        15                       -0.874237                16.5                     
challenge_instances/simple-polygon-exterior-20_250_823ed1ae.instance.json       283                      177                      199                      -0.283452                630.5                    
challenge_instances/simple-polygon-exterior-20_40_8ad14096.instance.json        39                       13                       109                      -0.743026                93.5                     
challenge_instances/simple-polygon-exterior-20_20_52abeef5.instance.json        24                       8                        73                       -0.591706                60.5                     
challenge_instances/simple-polygon-exterior_20_92dcd467.instance.json           15                       4                        48                       -0.919847                36                       
challenge_instances/simple-polygon-exterior_20_ff791267.instance.json           25                       13                       92                       -0.362713                85                       
challenge_instances/simple-polygon-exterior-20_20_eb63a5b6.instance.json        21                       5                        49                       -0.756406                39.5                     
challenge_instances/simple-polygon-exterior-20_20_e64ff8fc.instance.json        22                       9                        59                       -0.633584                56.5                     
challenge_instances/simple-polygon-exterior_100_37aaf06f.instance.json          121                      66                       168                      -0.289438                282                      
